name	method	flag	crc	csize	usize	lho
2011-1234/000001002/A87528880231C54E75EA7A44943B38BF_BrUsbSer.sys	8	0	3776288613	7626	14720	281976034834
2011-1234/000201009/176E57DAB0CA91D9A911EB5493C6A712_A0262153.EXE	8	0	3449607620	12918	14848	59161615165
2011-1234/000001011/20CBEDDD6AFAD8F087DC7C511A88E4DF_IMJPDADM.EXE	8	0	1203026080	7730	14848	282649038265
2011-1234/000001011/2113B455B62ECEBE1246117381C0D005_mountvol.exe	8	0	690759452	7715	14848	282661792643
2011-1234/000001002/B79968002C277E869CF38BD22CD61524_BrUsbMdm.sys	8	0	3220160217	7844	14976	282064698099
2011-1234/000001011/5A32F2F473E33AA8F5B31A5BB752860D_diskcomp.com	8	0	1309135810	6387	15360	282692118174
2011-1234/000001011/0B08315DA0DA7F9F472FBAB510BFE7B8_tcmsetup.exe	8	0	3368795943	7128	15360	282671974091
2011-1234/000001011/584325B9D09E57556E139995E1A94384_print.exe	8	0	3105279854	6682	15360	282654108186
2011-1234/000201012/CEC164F1CBC16261FB9E3CB57DD8C440_tsrh-vmask458_kg.exe	8	0	4138643795	11963	15872	203290260691
2011-1234/000001002/84F50F355A74DF0FB58B8D6EDD2BC197_find.exe	8	0	3443729518	6963	15872	281899188853
2011-1234/000201001/0F26611D410E3EA0350674B0EDCB5E73_CIDAEMON.EXE	8	0	2837493020	7772	16384	33167342900
2011-1234/000001011/16B18717E48861F538C417814E7F52AA_cmdkey.exe	8	0	737320500	8184	16384	282658244517
2011-1234/000201011/6C631C0FA49AACD6D1D6601092E42798_Setup.exe	8	0	1110258608	13961	16896	268296964849
2011-1234/000001011/8DB67F9ABBAD47935C65422A519B370B_reset.exe	8	0	858155932	8373	16896	282660080746
2011-1234/000001011/4D28D8C0E84023FD88176C6E2F3B0252_change.exe	8	0	864378983	8383	16896	282647821256
2011-1234/000001002/C3F8DE185A0D1D3EB779A8D45CEDA2C2_chkntfs.exe	8	0	1159259458	7791	16896	281328979951
2011-1234/000001011/BDD6851DAE0A681721B0C0AB75713053_fixmapi.exe	8	0	2116061841	8278	17408	282661778996
2011-1234/000001011/D6A9FE571146099D6D75A8E4E7871506_nbtstat.exe	8	0	3222144826	9343	17920	282708619494
2011-1234/000001011/4F432B394E3C7D6657A58FF44D3FBBB0_grpconv.exe	8	0	2351412905	8658	18432	282660795886
2011-1234/000001011/D98BB7D0AC50E51742A5952FC81854B8_doskey.exe	8	0	2147678746	8365	18944	282660313514
2011-1234/000001011/94F61D2746FCCBDA0D3447077C654F3D_fltMC.exe	8	0	4128836637	9127	18944	282653976394
2011-1234/000001011/B7E43B7DA8C357DA231ED62891C887B8_diskperf.exe	8	0	1558831450	9974	19456	282660806135
2011-1234/000001011/DEB9AA27507C858A965C287C11F3ACE3_fc.exe	8	0	528034104	9794	19968	282666654545
2011-1234/000201001/27E41AEECC0783D1017928840F0DE0E3_lang-1033.dll	8	0	28784095	4411	19968	31795240963
2011-1234/000201001/27AFD185109F2E5757670D7100301EC9_mcspad.exe	8	0	3683323007	9339	19968	32706358995
2011-1234/000001011/FDCE04563C157BB80F32E22C22F4EAC6_compact.exe	8	0	383013384	10437	19968	282658149636
2011-1234/000201001/23BB24B3CC03F7788A8EB6FE64947BBD_ppcrlconfig.dll	8	0	3570313732	10135	20040	31890131940
2011-1234/000001011/B852A7A81A85AB0668069C85509D88E0_comp.exe	8	0	1161220476	9903	20480	282653726475
2011-1234/000001010/3B23E52BEBE55F73B39BEC0D49E54F78_w3wp.exe	8	0	2029182178	9968	20480	82015805625
2011-1234/000201001/2F7B28DC3E1183E5EB418DF55C204F38_isapnp.sys	8	0	2865902390	9924	20544	32450614087
2011-1234/000201001/28E105AD3B79F440BF94780F507BF66A_btwrchid.sys	8	0	2685743342	11998	21160	34678235600
2011-1234/000001011/30B6D1E28A6F059D98DBD257167A9F9A_shadow.exe	8	0	2046059667	11696	21504	282652094348
2011-1234/000001011/80A33D3EB1425D84222C288C1FDEED94_logoff.exe	8	0	1815326960	12061	21504	282672393921
2011-1234/000001011/207AE6C2AC624F825FCAF255776E66A0_rwinsta.exe	8	0	1104298743	11914	21504	282647452183
2011-1234/000001011/E64D359B843C8AB88FB4047C2854D38E_chgusr.exe	8	0	3417840019	11515	21504	282880653999
2011-1234/000001011/7E4212ADEE59CDB9EF6EDF43AFA9CE1A_tsdiscon.exe	8	0	3203917704	12177	22016	282654064756
2011-1234/000001005/6184FFA9E70CA2FDA92D495CCA64665D_XamlViewer_v0300.exe	8	0	3286740208	7644	22352	105311146285
2011-1234/000001011/00D1806EE50A4C414C8404D31545268F_cofire.exe	8	0	1818285070	10817	22528	282669675356
2011-1234/000001011/CDCEB5BDF3895153FADDB21FD7702CAA_chglogon.exe	8	0	536545930	12394	22528	282878839313
2011-1234/000201004/AFD4F735108A24D5112AC1FD661BEC8B_A0001085.exe	8	0	1395415136	19733	22528	315097637780
2011-1234/000201001/175383778EB24D98C84E624021E3AA0B_aeevts.dll	8	0	2056151432	4414	23040	34481996013
2011-1234/000201006/3DB78702B7D3DB084E3477A211434B60_RenQuranFiles.exe	8	0	1954582395	19385	23040	226601902090
2011-1234/000001011/033B88A23C417F3415BC4C9F6D49FDDF_upnpcont.exe	8	0	1000266991	11213	23552	282653712408
2011-1234/000001011/DD8DED1D5D82A38617846BA7A253FDE7_fltMC.exe	8	0	2766921637	11004	23552	282667249860
